order_id,order_date,ship_date,customer_id,customer_segment,region,state,city,category,sub_category,product_name,ship_mode,sales,quantity,discount,profit,return_flag,delivery_days,customer_rating,campaign_channel,profit_margin,order_year,order_month,order_quarter
DB-2024-500001,2024-01-16,2024-01-17,C-44931,Home Office,North,Punjab,Ludhiana,Furniture,Tables,Classic Tables 446,Second Class,46431.81,4,0.0,4220.45,0,1,4.4,Organic,0.09089565967813876,2024,2024-01,2024Q1
DB-2024-500002,2024-08-29,2024-09-03,C-91890,Corporate,North,Rajasthan,Jaipur,Office Supplies,Storage,Pro Storage 622,Standard Class,1571.91,3,0.0,373.32,0,5,3.8,Social,0.23749451304463995,2024,2024-08,2024Q3
DB-2025-500003,2025-07-10,2025-07-11,C-37755,Consumer,West,Goa,Panaji,Furniture,Tables,Max Tables 521,First Class,24369.68,3,0.25,-1582.84,0,1,5.0,Referral,-0.06495120165714116,2025,2025-07,2025Q3
DB-2025-500004,2025-04-21,2025-04-24,C-31233,Corporate,West,Rajasthan,Udaipur,Technology,Accessories,Elite Accessories 822,Second Class,271439.86,7,0.0,65335.24,0,3,4.0,Organic,0.24069876841227372,2025,2025-04,2025Q2
DB-2025-500005,2025-02-19,2025-02-23,C-68647,Corporate,West,Madhya Pradesh,Indore,Furniture,Furnishings,Pro Furnishings 514,Standard Class,102228.61,6,0.0,10735.15,0,4,4.0,Social,0.10501120967995163,2025,2025-02,2025Q1
DB-2024-500006,2024-12-27,2025-01-01,C-74713,Home Office,West,Madhya Pradesh,Indore,Office Supplies,Labels,Max Labels 695,Standard Class,9020.31,7,0.15,814.77,0,5,4.0,Social,0.09032616395667112,2024,2024-12,2024Q4
DB-2025-500007,2025-07-15,2025-07-19,C-83082,Corporate,North,Delhi,New Delhi,Furniture,Furnishings,Eco Furnishings 537,Standard Class,35230.17,3,0.3,-1806.06,0,4,4.4,Organic,-0.051264583736042146,2025,2025-07,2025Q3
DB-2024-500008,2024-10-27,2024-10-30,C-70611,Corporate,South,Telangana,Hyderabad,Furniture,Furnishings,Eco Furnishings 800,Standard Class,30502.47,2,0.1,2762.4,0,3,4.2,Social,0.09056315767214917,2024,2024-10,2024Q4
DB-2025-500009,2025-05-29,2025-06-01,C-25470,Corporate,North,Delhi,New Delhi,Office Supplies,Art,Prime Art 817,First Class,83.01,1,0.0,11.74,0,3,3.8,Paid,0.14142874352487653,2025,2025-05,2025Q2
DB-2024-500010,2024-04-15,2024-04-16,C-35469,Corporate,West,Gujarat,Ahmedabad,Technology,Copiers,Smart Copiers 755,Second Class,139946.95,7,0.2,17367.1,0,1,4.4,Organic,0.12409773846446812,2024,2024-04,2024Q2
DB-2024-500011,2024-06-27,2024-07-01,C-99868,Home Office,South,Kerala,Kochi,Furniture,Chairs,Basic Chairs 837,Standard Class,20815.11,10,0.2,409.4,0,4,4.9,Organic,0.0196684043466501,2024,2024-06,2024Q2
DB-2024-500012,2024-08-15,2024-08-19,C-57229,Corporate,East,Jharkhand,Ranchi,Office Supplies,Art,Classic Art 324,Standard Class,9593.87,8,0.25,1409.15,0,4,4.3,Organic,0.14688024749136688,2024,2024-08,2024Q3
DB-2024-500013,2024-03-19,2024-03-23,C-60371,Home Office,East,Bihar,Patna,Office Supplies,Storage,Smart Storage 352,Standard Class,9301.6,7,0.3,1062.5,0,4,3.2,Social,0.11422765975746108,2024,2024-03,2024Q1
DB-2024-500014,2024-11-17,2024-11-22,C-48130,Corporate,South,Telangana,Hyderabad,Furniture,Furnishings,Eco Furnishings 546,Standard Class,7780.4,6,0.2,305.89,0,5,4.1,Email,0.039315459359415966,2024,2024-11,2024Q4
DB-2025-500015,2025-07-03,2025-07-07,C-53013,Home Office,North,Uttar Pradesh,Noida,Office Supplies,Binders,Max Binders 697,Standard Class,2526.32,2,0.1,246.08,0,4,4.6,Organic,0.0974065043224928,2025,2025-07,2025Q3
DB-2024-500016,2024-01-18,2024-01-21,C-93521,Consumer,South,Kerala,Kochi,Technology,Phones,Classic Phones 169,Standard Class,1615.99,1,0.1,224.77,0,3,3.1,Paid,0.1390912072475696,2024,2024-01,2024Q1
DB-2024-500017,2024-06-12,2024-06-17,C-65271,Corporate,East,Odisha,Bhubaneswar,Office Supplies,Paper,Elite Paper 305,Standard Class,12351.99,10,0.1,2244.17,0,5,3.7,Organic,0.18168489449878117,2024,2024-06,2024Q2
